id,x,y,z,neighbors
18,1.169225,26.138413,9.588714,0
19,1.637602,31.151649,9.443405,0
21,1.418313,36.506731,9.578972,0
23,1.329845,41.954747,9.717901,0
25,1.395632,47.661008,9.747358,0
28,1.293350,58.650151,9.611159,0
34,1.527956,123.480921,9.552831,0
36,1.483524,129.045598,9.647511,0
38,1.407783,134.486281,9.526480,0
40,1.728158,139.885407,9.357729,0
3891,2.565532,21.398151,8.185022,0
3,-0.174744,27.615339,10.957871,1
4,-0.097493,32.220606,10.792126,1
44,2.733819,35.091470,11.041176,0
5,0.155918,37.912291,11.095242,1
45,2.926205,40.628709,10.949697,0
6,0.048108,43.440608,11.045874,2
6,0.048108,43.440608,11.045874,2
7,0.093694,49.258902,11.052830,2
7,0.093694,49.258902,11.052830,2
47,3.015216,51.981815,10.880879,0
9,0.479326,60.599581,10.784551,1
3979,2.554444,108.497061,8.159305,0
5235,2.841994,114.190771,8.198616,0
5058,0.282838,116.442568,8.191583,0
12,0.440461,124.903370,11.039157,2
12,0.440461,124.903370,11.039157,2
13,0.152017,130.391755,11.122385,2
13,0.152017,130.391755,11.122385,2
14,0.150598,136.036183,10.851912,2
14,0.150598,136.036183,10.851912,2
15,0.480156,141.085712,11.040816,1
5078,-0.026008,143.988024,8.449269,0
19,1.637602,31.151649,9.443405,4
20,1.040787,33.925083,12.321204,1
22,1.671531,39.315372,12.591055,2
24,1.340916,44.856885,12.568748,2
26,1.194811,50.977738,12.146374,2
64,2.282045,55.538294,12.059430,0
70,4.018273,120.613781,9.427802,0
35,1.427419,126.299359,12.836443,3
37,1.576729,131.689396,12.653459,3
39,0.934045,137.656976,12.492490,2
78,4.480989,142.572563,9.440897,0
95,6.110920,20.676538,9.352616,0
43,3.353914,30.338944,10.892991,2
44,2.733819,35.091470,11.041176,4
44,2.733819,35.091470,11.041176,4
45,2.926205,40.628709,10.949697,4
45,2.926205,40.628709,10.949697,4
46,2.705278,46.260123,11.049748,4
46,2.705278,46.260123,11.049748,4
47,3.015216,51.981815,10.880879,4
48,3.117055,57.386161,10.807206,2
48,3.117055,57.386161,10.807206,2
87,4.861185,59.314978,11.013460,0
107,6.226944,64.654782,9.877011,0
3997,5.235895,111.420467,8.318314,0
88,5.608334,114.350436,11.203764,0
50,2.786625,121.817705,11.097089,2
50,2.786625,121.817705,11.097089,2
51,2.814693,127.459167,11.171591,3
51,2.814693,127.459167,11.171591,3
5426,5.461394,133.007588,8.220717,0
52,2.701365,133.213616,11.041254,3
53,2.798709,138.546293,11.141576,4
53,2.798709,138.546293,11.141576,4
54,3.675346,144.554013,10.658961,1
4115,5.593973,149.167913,8.082803,0
4107,2.844193,151.713080,8.207946,0
56,4.235485,28.397882,9.715259,4
57,4.154836,33.979144,9.349013,4
58,4.745537,35.884452,12.275802,3
60,4.045926,42.007012,12.452188,3
62,3.957855,47.511665,12.642362,3
47,3.015216,51.981815,10.880879,4
66,3.834635,61.175078,9.807415,3
69,4.145963,115.676897,9.738076,2
70,4.018273,120.613781,9.427802,4
72,4.175037,126.063195,9.645721,4
73,4.334314,128.663209,12.623627,2
75,4.206502,134.307326,12.624404,3
77,4.193483,140.068829,12.410626,2
55,4.589545,22.485798,9.309849,2
82,5.100547,32.260521,10.851093,2
58,4.745537,35.884452,12.275802,3
122,8.089001,35.227682,11.033065,0
83,5.546461,37.828195,10.975135,3
84,5.413356,43.452236,10.971200,4
84,5.413356,43.452236,10.971200,4
124,8.025045,45.995989,10.968662,0
85,5.209076,48.748943,11.110205,2
5381,5.290100,51.616598,8.065598,0
87,4.861185,59.314978,11.013460,2
67,4.646212,66.482834,9.629961,2
3996,5.180921,105.558324,8.170957,0
3997,5.235895,111.420467,8.318314,0
89,5.097288,119.211793,11.120571,2
71,4.713127,122.566169,12.334322,2
90,5.554460,124.687894,11.129978,3
90,5.554460,124.687894,11.129978,3
91,5.535034,130.075078,11.099935,3
91,5.535034,130.075078,11.099935,3
92,5.666177,135.612872,11.236761,2
93,5.633424,141.335653,11.021004,3
5434,5.702775,143.987314,7.908282,0
4115,5.593973,149.167913,8.082803,0
97,6.814906,30.983508,9.635628,4
98,6.250737,34.027666,12.212286,2
100,6.846662,39.280515,12.456495,2
102,6.760343,44.592907,12.537067,4
104,7.045557,49.393665,12.336578,3
106,6.660440,58.364846,9.615821,4
110,6.747368,118.006775,9.799641,4
111,6.447304,120.959877,12.455349,2
114,6.766663,128.764135,9.625474,4
115,6.704436,131.574581,12.661457,3
118,6.972557,139.822540,9.585963,4
156,9.419690,142.896537,9.414274,0
3908,8.028139,21.853319,8.073010,0
121,7.867364,29.349572,11.152616,2
160,10.868326,32.337466,10.677965,0
122,8.089001,35.227682,11.033065,3
123,8.012971,40.711955,10.982640,4
123,8.012971,40.711955,10.982640,4
162,10.840651,43.076887,10.964968,0
104,7.045557,49.393665,12.336578,3
125,8.010820,51.250390,11.287957,3
125,8.010820,51.250390,11.287957,3
126,8.548558,57.668396,10.720206,2
165,10.437942,59.498482,11.014545,0
185,11.940579,64.706755,9.527549,0
4030,11.134080,111.323142,8.298131,0
5595,8.165391,113.779324,8.502942,0
128,8.301363,122.203356,11.368855,3
128,8.301363,122.203356,11.368855,3
129,8.436392,127.578031,10.891841,3
129,8.436392,127.578031,10.891841,3
169,10.779439,130.517095,11.012589,0
170,10.977843,135.916023,11.105459,0
131,8.233784,138.521749,11.133070,3
131,8.233784,138.521749,11.133070,3
132,8.666152,144.430886,11.175054,1
4131,10.963081,149.516715,8.224476,0
198,11.903464,151.453493,9.578096,0
134,9.789449,28.402926,9.876146,3
135,9.411940,33.765897,9.434567,3
177,12.261635,36.688555,9.463040,0
138,9.580093,41.737497,12.537105,3
141,9.355041,50.106817,9.702096,4
142,9.777817,52.508948,12.364574,2
144,9.062318,61.059171,9.873005,2
148,9.656544,120.845036,9.876793,3
150,9.783136,126.450443,9.432252,3
151,9.565698,128.993409,12.460763,3
153,9.449248,134.732040,12.652340,2
155,9.555870,139.997616,12.462688,2
